P 1093.2770, -324.2539, -98.8798,  0, 0, 0,  2,  traps
P 672.4022, -169.2878, -91.9710,  0, 0, 0,  2,  trap
P 307.0373, -384.0109, -76.7924,  0, 0, 0,  2,  trap
P 537.7198, -421.2813, -77.8097,  0, 0, 0,  2,  trap
P 815.9783, -656.9268, -71.0047,  0, 0, 0,  2,  trap
P 571.8707, -654.1147, -76.4792,  0, 0, 0,  2,  trap
P -269.7057, -727.8341, -112.0752,  0, 0, 0,  2,  trap
P 440.7791, -687.5201, -82.8940,  0, 0, 0,  2,  trap
P -362.1952, -649.2970, -113.9677,  240, 240, 240,  2,  kodiaks
P -241.0333, -568.8771, -111.9677,  0, 0, 240,  2,  fake_wall
P 946.0000, -745.0000, -40.3499,  0, 0, 0,  2,  evac_spot
