L -1964.0000, -500.0000, 0.0000,  1708.0000, -500.0000, 0.0000,  100, 100, 100
L -1964.0000, -1000.0000, 0.0000,  1708.0000, -1000.0000, 0.0000,  100, 100, 100
L -1964.0000, 500.0000, 0.0000,  1708.0000, 500.0000, 0.0000,  100, 100, 100
L -1964.0000, 1000.0000, 0.0000,  1708.0000, 1000.0000, 0.0000,  100, 100, 100
L 215.0827, -786.4622, -43.9980,  214.1448, -787.4963, -43.9980,  0, 127, 0
L 244.0856, -758.8504, -43.9980,  215.0827, -786.4622, -43.9980,  0, 127, 0
L 245.1856, -757.8024, -43.9980,  244.0856, -758.8504, -43.9980,  0, 127, 0
L 252.0005, -750.2845, -43.9980,  245.1856, -757.8024, -43.9980,  0, 127, 0
L 252.9554, -749.2310, -43.9980,  252.0005, -750.2845, -43.9980,  0, 127, 0
L 255.7563, -745.1130, -44.7063,  252.9554, -749.2310, -43.9980,  0, 127, 0
L 257.3941, -742.7042, -45.6995,  255.7563, -745.1130, -44.7063,  0, 127, 0
L 258.8877, -740.3030, -45.3036,  257.3941, -742.7042, -45.6995,  0, 127, 0
L 260.3970, -737.5610, -43.9980,  258.8877, -740.3030, -45.3036,  0, 127, 0
L 261.4621, -735.6259, -43.9980,  260.3970, -737.5610, -43.9980,  0, 127, 0
L 258.4047, -726.6002, -44.1108,  261.4621, -735.6259, -43.9980,  0, 127, 0
L 252.1855, -708.5225, -45.1172,  258.4047, -726.6002, -44.1108,  0, 127, 0
L 251.7624, -707.2925, -45.1162,  252.1855, -708.5225, -45.1172,  0, 127, 0
L 259.4081, -699.6416, -43.9980,  251.7624, -707.2925, -45.1162,  0, 127, 0
L 260.5166, -698.5292, -43.9980,  259.4081, -699.6416, -43.9980,  0, 127, 0
L 285.0045, -671.5139, -43.9980,  260.5166, -698.5292, -43.9980,  0, 127, 0
L 286.7946, -669.5399, -43.9980,  285.0045, -671.5139, -43.9980,  0, 127, 0
L 293.3170, -663.0337, -43.9980,  286.7946, -669.5399, -43.9980,  0, 127, 0
L 299.6867, -656.8611, -43.9980,  293.3170, -663.0337, -43.9980,  0, 127, 0
L 316.2046, -641.4874, -43.9980,  299.6867, -656.8611, -43.9980,  0, 127, 0
L 317.4459, -640.3344, -43.9980,  316.2046, -641.4874, -43.9980,  0, 127, 0
L 308.9421, -608.0682, -44.3478,  317.4459, -640.3344, -43.9980,  0, 127, 0
L 308.5797, -606.6934, -44.3469,  308.9421, -608.0682, -44.3478,  0, 127, 0
L 308.7628, -605.5596, -43.9980,  308.5797, -606.6934, -44.3469,  0, 127, 0
L 313.4760, -576.2690, -43.9980,  308.7628, -605.5596, -43.9980,  0, 127, 0
L 313.8217, -574.1185, -43.9980,  313.4760, -576.2690, -43.9980,  0, 127, 0
L 314.0709, -572.5671, -43.9980,  313.8217, -574.1185, -43.9980,  0, 127, 0
L 314.4855, -569.9869, -43.9980,  314.0709, -572.5671, -43.9980,  0, 127, 0
L 314.8989, -566.2574, -43.9980,  314.4855, -569.9869, -43.9980,  0, 127, 0
L 314.9926, -564.9872, -43.9980,  314.8989, -566.2574, -43.9980,  0, 127, 0
L 315.4177, -559.2250, -44.0301,  314.9926, -564.9872, -43.9980,  0, 127, 0
L 315.6203, -556.4791, -44.2211,  315.4177, -559.2250, -44.0301,  0, 127, 0
L 316.0338, -550.8771, -44.7509,  315.6203, -556.4791, -44.2211,  0, 127, 0
L 316.1796, -548.9005, -45.1465,  316.0338, -550.8771, -44.7509,  0, 127, 0
L 316.6586, -542.4080, -44.1480,  316.1796, -548.9005, -45.1465,  0, 127, 0
L 316.7743, -540.8391, -44.1480,  316.6586, -542.4080, -44.1480,  0, 127, 0
L 312.2409, -531.2620, -44.4731,  316.7743, -540.8391, -44.1480,  0, 127, 0
L 311.2776, -529.2326, -44.4813,  312.2409, -531.2620, -44.4731,  0, 127, 0
L 297.9361, -502.7277, -46.2679,  311.2776, -529.2326, -44.4813,  0, 127, 0
L 297.2697, -501.4037, -46.2668,  297.9361, -502.7277, -46.2679,  0, 127, 0
L 301.4322, -495.1837, -43.9980,  297.2697, -501.4037, -46.2668,  0, 127, 0
L 302.6428, -493.3777, -43.9980,  301.4322, -495.1837, -43.9980,  0, 127, 0
L 329.1611, -456.6903, -43.9980,  302.6428, -493.3777, -43.9980,  0, 127, 0
L 330.1182, -455.3660, -43.9980,  329.1611, -456.6903, -43.9980,  0, 127, 0
L 331.0501, -452.4249, -43.9980,  330.1182, -455.3660, -43.9980,  0, 127, 0
L 333.7808, -443.7585, -43.9980,  331.0501, -452.4249, -43.9980,  0, 127, 0
L 334.3221, -442.0201, -43.9980,  333.7808, -443.7585, -43.9980,  0, 127, 0
L 339.5217, -412.0576, -44.6099,  334.3221, -442.0201, -43.9980,  0, 127, 0
L 340.0009, -409.2959, -44.2860,  339.5217, -412.0576, -44.6099,  0, 127, 0
L 340.0486, -407.3560, -44.2455,  340.0009, -409.2959, -44.2860,  0, 127, 0
L 334.3672, -399.2584, -43.9980,  340.0486, -407.3560, -44.2455,  0, 127, 0
L 332.0335, -396.0797, -43.9980,  334.3672, -399.2584, -43.9980,  0, 127, 0
L 319.8215, -379.9903, -43.9980,  332.0335, -396.0797, -43.9980,  0, 127, 0
L 318.8846, -378.7532, -43.9980,  319.8215, -379.9903, -43.9980,  0, 127, 0
L 312.2744, -369.1180, -43.9980,  318.8846, -378.7532, -43.9980,  0, 127, 0
L 311.3500, -367.7704, -43.9980,  312.2744, -369.1180, -43.9980,  0, 127, 0
L 309.0727, -361.4042, -43.9980,  311.3500, -367.7704, -43.9980,  0, 127, 0
L 308.5835, -360.0370, -43.9980,  309.0727, -361.4042, -43.9980,  0, 127, 0
L 315.8921, -327.4930, -43.9980,  308.5835, -360.0370, -43.9980,  0, 127, 0
L 316.2103, -326.0761, -43.9980,  315.8921, -327.4930, -43.9980,  0, 127, 0
L 319.8178, -319.7102, -43.9980,  316.2103, -326.0761, -43.9980,  0, 127, 0
L 320.6842, -318.1815, -43.9980,  319.8178, -319.7102, -43.9980,  0, 127, 0
L 325.2082, -312.2485, -43.9980,  320.6842, -318.1815, -43.9980,  0, 127, 0
L 326.1896, -310.9651, -43.9980,  325.2082, -312.2485, -43.9980,  0, 127, 0
