P 262.9095, -1994.9005, -125.8475,  0, 0, 0,  1,  Lamp
P 370.4669, -1895.8486, -125.9354,  0, 0, 0,  1,  Lamp
P 362.6670, -1800.0059, -125.9354,  0, 0, 0,  1,  Lamp
P 331.4959, -1690.6697, -121.9272,  0, 0, 0,  1,  Lamp
P 522.2799, -1389.1340, -82.9667,  0, 0, 0,  1,  Lamp
P 520.8700, -1341.9200, -81.9667,  0, 0, 0,  1,  Lamp
P 519.4293, -1284.0598, -38.9722,  0, 0, 0,  1,  Lamp
P 594.6266, -1215.8346, -40.7273,  0, 0, 0,  1,  Lamp
P 594.7687, -1203.8300, -40.9667,  0, 0, 0,  1,  Lamp
P 553.6283, -1239.3926, -41.9657,  0, 0, 0,  1,  Lamp
P 532.0513, -1211.2100, -41.9664,  0, 0, 0,  1,  Lamp
P 620.3692, -1325.8518, -24.9660,  0, 0, 0,  1,  Lamp
P 731.2014, -1312.1090, -24.9660,  0, 0, 0,  1,  Lamp
P 770.9470, -1279.0293, -13.9980,  0, 0, 0,  1,  Lamp
P 771.9321, -1310.8978, -11.1532,  0, 0, 0,  1,  Lamp
P 900.3304, -1282.8644, 17.0172,  0, 0, 0,  1,  Lamp
P 901.3455, -1306.5178, 17.0172,  0, 0, 0,  1,  Lamp
P 914.6934, -1295.0726, 17.0172,  0, 0, 0,  1,  Lamp
P 811.0886, -1300.3049, -39.1462,  0, 0, 0,  1,  Lamp_and_Zoo_Keeper
P 794.3616, -1308.9933, -39.4826,  0, 0, 0,  1,  Lamp
P 793.0974, -1290.1741, -39.2844,  0, 0, 0,  1,  Lamp
P 1007.6335, -1078.6548, 31.0116,  0, 0, 0,  1,  Lamp
P 1044.6644, -1085.2242, 28.0020,  0, 0, 0,  1,  Lamp
P 1012.3218, -1041.8547, 28.3662,  0, 0, 0,  1,  Lamp
P 476.7179, -877.7252, -31.6127,  0, 0, 0,  1,  Lamp
P 383.3080, -792.7721, -24.9660,  0, 0, 0,  1,  Lamp
P 380.7424, -605.4333, -24.9660,  0, 0, 0,  1,  Lamp
P 227.5420, -554.5333, -24.9660,  0, 0, 0,  1,  Lamp
P 49.6405, -484.8058, -24.9660,  0, 0, 0,  1,  Lamp
P -36.7779, -492.4911, -24.9660,  0, 0, 0,  1,  Lamp
P -140.8733, -658.8599, -24.9790,  0, 0, 0,  1,  Lamp
P -145.5647, -725.5159, -24.9660,  0, 0, 0,  1,  Lamp
P -18.4575, -381.8395, -27.9980,  0, 0, 0,  1,  Lamp
P -30.9308, -248.6512, -24.9660,  0, 0, 0,  1,  Lamp
P -70.0382, -227.8364, -24.9871,  0, 0, 0,  1,  Lamp
P -30.6541, -227.8584, -15.6265,  0, 0, 0,  1,  Lamp
P -11.1411, -227.8576, -15.1519,  0, 0, 0,  1,  Lamp
P 40.8864, -247.9753, -12.9708,  0, 0, 0,  1,  Lamp
P 2.9306, -248.8975, -24.9660,  0, 0, 0,  1,  Lamp
P -10.6043, -228.7331, -27.9980,  0, 0, 0,  1,  Lamp
P 303.6210, -973.2975, -9.9969,  0, 0, 0,  1,  Lamp
P 107.8772, -819.6854, -31.9970,  0, 0, 0,  1,  Lamp
P 131.6461, -782.7142, -31.9980,  0, 0, 0,  1,  Lamp
P 132.4052, -793.4087, -31.9980,  0, 0, 0,  1,  Lamp
P 147.3743, -793.5207, -31.9980,  0, 0, 0,  1,  Lamp
P 147.5874, -782.0688, -31.9980,  0, 0, 0,  1,  Lamp
P 113.8092, -741.0291, -15.9980,  0, 0, 0,  1,  Lamp
P 212.5252, -819.6310, -71.5984,  0, 0, 0,  1,  Lamp
P 183.4288, -811.6854, -63.9667,  0, 0, 0,  1,  Lamp
P 183.1232, -826.0087, -63.9667,  0, 0, 0,  1,  Lamp
